CONTAINER

92f58a51$for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.67              4.28              1.31              0.00
2                       7.69              4.25              1.31              0.00
4                       7.75              4.29              1.32              0.00
8                       7.84              4.36              1.34              0.00
16                      7.87              4.38              1.36              0.00
32                      7.87              4.37              1.36              0.00
64                      7.86              4.36              1.36              0.00
128                     7.90              4.32              1.37              0.00
256                     7.75              4.32              1.35              0.00
512                     8.21              4.32              1.67              0.00
1024                    8.19              4.31              1.70              0.00
2048                    8.32              4.31              1.76              0.00
4096                    9.84              4.42              3.07              0.00
8192                   13.04              7.06              3.44              0.00
16384                  14.68              8.34              4.21              0.00
32768                  17.15              8.69              6.09              0.00
65536                  27.65             14.76             10.44              0.00
131072                 57.89             30.84             24.82              0.00
262144                119.11             61.93             53.48              0.00
524288                222.31            115.35            100.54              0.00
1048576               418.28            219.10            192.96              0.00

# OSU MPI Non-blocking All-to-Allv Personalized Exchange Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.81              4.31              1.32              0.00
2                       7.74              4.25              1.33              0.00
4                       7.78              4.30              1.33              0.00
8                       7.70              4.23              1.33              0.00
16                      7.74              4.24              1.35              0.00
32                      7.74              4.25              1.35              0.00
64                      7.77              4.25              1.36              0.00
128                     7.80              4.26              1.38              0.00
256                     7.82              4.28              1.40              0.00
512                     8.22              4.25              1.69              0.00
1024                    8.24              4.24              1.70              0.00
2048                    8.29              4.25              1.80              0.00
4096                    9.71              4.27              3.10              0.00
8192                   14.07              7.85              3.45              0.00
16384                  14.50              8.05              4.15              0.00
32768                  15.70              8.10              5.31              0.00
65536                  24.65             12.24              9.81              0.00
131072                 54.00             28.20             23.37              0.00
262144                117.71             61.16             52.14              0.00
524288                219.21            113.87             98.88              0.00
1048576               416.69            218.04            191.18              0.00

# OSU MPI Non-blocking All-to-Allw Personalized Exchange Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.71              4.27              1.40              0.00
2                       7.73              4.29              1.34              0.00
4                       7.82              4.35              1.33              0.00
8                       8.07              4.59              1.36              0.00
16                      7.94              4.43              1.38              0.00
32                      7.85              4.36              1.38              0.00
64                      7.90              4.39              1.35              0.00
128                     7.82              4.32              1.38              0.00
256                     7.85              4.31              1.42              0.00
512                     8.28              4.33              1.72              0.00
1024                    8.34              4.36              1.75              0.00
2048                    8.46              4.34              1.86              0.00
4096                    9.86              4.35              3.15              0.00
8192                   13.75              7.92              3.50              0.00
16384                  14.32              7.95              4.11              0.00
32768                  15.85              8.09              5.83              0.00
65536                  25.59             12.39             10.05              0.00
131072                 52.57             27.62             23.26              0.00
262144                114.22             59.80             51.06              0.00
524288                216.40            112.88             97.77              0.00
1048576               414.80            219.30            192.31              0.00

# OSU MPI Non-blocking Barrier Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

       Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
              8.03              4.69              1.25              0.00

# OSU MPI Non-Blocking Broadcast Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.45              4.27              1.05              0.00
2                       7.44              4.28              1.03              0.00
4                       7.36              4.25              1.04              0.00
8                       7.45              4.30              1.02              0.00
16                      7.53              4.35              1.05              0.00
32                      7.41              4.27              1.05              0.00
64                      7.45              4.30              1.05              0.00
128                     7.46              4.29              1.07              0.00
256                     7.49              4.31              1.07              0.00
512                     7.58              4.25              1.33              0.00
1024                    7.80              4.49              1.32              0.00
2048                    7.81              4.47              1.39              0.00
4096                    8.60              4.27              2.36              0.00
8192                    8.87              4.40              2.55              0.00
16384                   9.22              4.27              3.00              0.00
32768                  13.57              7.95              3.72              0.00
65536                  15.44              8.08              5.33              0.00
131072                 23.80             11.99              9.84              0.00
262144                 60.77             31.51             26.71              0.00
524288                122.49             64.84             56.12              0.00
1048576               241.33            128.29            111.79              0.00

# OSU MPI Non-blocking Gather Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.49              4.30              1.04              0.00
2                       7.39              4.23              1.03              0.00
4                       7.51              4.39              1.02              0.00
8                       7.44              4.29              1.02              0.00
16                      7.44              4.28              1.04              0.00
32                      7.46              4.32              1.02              0.00
64                      7.46              4.30              1.03              0.00
128                     7.44              4.29              1.05              0.00
256                     7.47              4.30              1.06              0.00
512                     7.85              4.36              1.36              0.00
1024                    7.83              4.28              1.35              0.00
2048                    7.92              4.33              1.42              0.00
4096                    9.15              4.39              2.58              0.00
8192                    9.55              4.36              2.94              0.00
16384                  13.71              7.35              3.74              0.00
32768                  15.51              8.09              4.95              0.00
65536                  24.08             12.39              9.87              0.00
131072                 50.66             26.91             22.05              0.00
262144                105.07             56.03             47.82              0.00
524288                196.96            102.89             90.00              0.00
1048576               387.82            206.19            181.25              0.00

# OSU MPI Non-blocking Gatherv Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.42              4.28              1.09              0.00
2                       7.47              4.35              1.06              0.00
4                       7.49              4.34              1.05              0.00
8                       7.40              4.28              1.05              0.00
16                      7.41              4.30              1.06              0.00
32                      7.48              4.33              1.05              0.00
64                      7.42              4.28              1.05              0.00
128                     7.51              4.34              1.06              0.00
256                     7.54              4.37              1.07              0.00
512                     7.88              4.41              1.37              0.00
1024                    7.86              4.38              1.40              0.00
2048                    7.92              4.33              1.43              0.00
4096                    9.12              4.33              2.60              0.00
8192                    9.47              4.37              2.97              0.00
16384                  13.52              7.51              3.68              0.00
32768                  15.45              7.96              5.01              0.00
65536                  23.57             11.81              9.13              0.00
131072                 51.31             26.77             21.60              0.00
262144                103.91             53.83             46.43              0.00
524288                197.35            103.90             90.41              0.00
1048576               387.28            204.06            180.66              0.00

# OSU MPI Non-blocking Reduce Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                       7.78              4.46              1.20              0.00
8                       7.68              4.36              1.24              0.00
16                      7.70              4.40              1.19              0.00
32                      7.67              4.37              1.21              0.00
64                      7.63              4.28              1.25              0.00
128                     7.67              4.32              1.24              0.00
256                     7.70              4.33              1.27              0.00
512                     8.07              4.33              1.55              0.00
1024                    8.07              4.31              1.61              0.00
2048                    8.15              4.29              1.75              0.00
4096                   12.75              5.94              3.06              0.00
8192                   13.43              6.10              3.64              0.00
16384                  14.87              6.33              4.58              0.00
32768                  20.14              9.94              6.35              0.00
65536                  58.57             30.64             25.57              0.00
131072                127.72             66.47             57.36              0.00
262144                247.95            130.29            113.87              0.00
524288                481.78            253.82            223.66              0.00
1048576               947.11            497.16            440.48              0.00

# OSU MPI Non-blocking Scatter Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.53              4.33              1.14              0.00
2                       7.57              4.41              1.13              0.00
4                       7.60              4.39              1.13              0.00
8                       7.46              4.27              1.13              0.00
16                      7.43              4.25              1.15              0.00
32                      7.44              4.23              1.16              0.00
64                      7.51              4.31              1.16              0.00
128                     7.50              4.28              1.17              0.00
256                     7.58              4.38              1.19              0.00
512                     7.60              4.23              1.44              0.00
1024                    7.64              4.29              1.44              0.00
2048                    7.63              4.24              1.51              0.00
4096                    8.63              4.26              2.55              0.00
8192                    8.84              4.26              2.77              0.00
16384                  11.05              6.41              3.47              0.00
32768                  13.75              8.07              4.58              0.00
65536                  19.65             11.86              7.19              0.00
131072                 31.39             19.41             15.07             20.48
262144                 75.36             47.62             40.24             31.08
524288                151.35            100.69             87.18             41.90
1048576               285.95            191.18            168.25             43.67

# OSU MPI Non-blocking Scatterv Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.64              4.39              1.16              0.00
2                       7.60              4.37              1.16              0.00
4                       7.77              4.52              1.15              0.00
8                       7.61              4.38              1.15              0.00
16                      7.63              4.37              1.17              0.00
32                      7.63              4.36              1.18              0.00
64                      7.62              4.39              1.17              0.00
128                     7.62              4.34              1.19              0.00
256                     7.72              4.43              1.20              0.00
512                     7.99              4.46              1.49              0.00
1024                    7.87              4.35              1.49              0.00
2048                    7.90              4.34              1.56              0.00
4096                    8.95              4.33              2.62              0.00
8192                    9.20              4.36              2.84              0.00
16384                  11.05              6.35              3.47              0.00
32768                  14.08              7.96              4.67              0.00
65536                  19.61             11.75              7.08              0.00
131072                 32.29             19.44             15.78             18.59
262144                 73.70             47.32             40.18             34.36
524288                148.60             98.03             85.62             40.94
1048576               291.44            194.30            170.78             43.12

# OSU MPI Reduce Latency Test v5.9
# Size       Avg Latency(us)
4                       0.70
8                       0.71
16                      0.71
32                      0.71
64                      0.78
128                     0.75
256                     0.77
512                     1.11
1024                    1.14
2048                    1.26
4096                    2.51
8192                    2.98
16384                   3.95
32768                   5.67
65536                  13.00
131072                 25.34
262144                 57.00
524288                117.46
1048576               238.22

# OSU MPI Reduce_scatter Latency Test v5.9
# Size       Avg Latency(us)
4                       1.13
8                       1.33
16                      1.31
32                      1.31
64                      1.34
128                     1.40
256                     1.42
512                     1.48
1024                    1.82
2048                    1.90
4096                    2.20
8192                    4.22
16384                   5.34
32768                   7.70
65536                  13.02
131072                 73.99
262144                157.20
524288                312.37
1048576               674.32

# OSU MPI Scatter Latency Test v5.9
# Size       Avg Latency(us)
1                       0.71
2                       0.71
4                       0.71
8                       0.71
16                      0.74
32                      0.74
64                      0.73
128                     0.76
256                     0.76
512                     1.06
1024                    1.07
2048                    1.14
4096                    2.17
8192                    2.40
16384                   3.14
32768                   4.08
65536                   6.46
131072                 16.54
262144                 37.04
524288                 85.17
1048576               168.49

# OSU MPI Scatterv Latency Test v5.9
# Size       Avg Latency(us)
1                       0.70
2                       0.71
4                       0.71
8                       0.71
16                      0.74
32                      0.74
64                      0.74
128                     0.75
256                     0.76
512                     1.07
1024                    1.08
2048                    1.14
4096                    2.17
8192                    2.39
16384                   3.30
32768                   4.50
65536                   7.37
131072                 14.65
262144                 40.45
524288                 89.38
1048576               170.43
# OSU MPI_Accumulate latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.06
2                       0.06
4                       0.06
8                       0.06
16                      0.07
32                      0.08
64                      0.09
128                     0.13
256                     0.18
512                     0.30
1024                    0.53
2048                    0.99
4096                    1.93
8192                    3.79
16384                   7.55
32768                  15.17
65536                  30.23
131072                 60.47
262144                120.86
524288                241.35
1048576               482.37
2097152               964.93
4194304              1930.26
# OSU MPI_Compare_and_swap latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
8                       0.07
# OSU MPI_Fetch_and_op latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
8                       0.07
# OSU MPI_Get_accumulate latency Test v5.9
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       3.02
2                       3.03
4                       3.04
8                       3.04
16                      3.05
32                      3.10
64                      3.09
128                     3.14
256                     3.25
512                     3.45
1024                    3.72
2048                    4.30
4096                    8.83
8192                   11.70
16384                  17.92
32768                  31.17
65536                  57.00
131072                135.95
262144                276.70
524288                532.44
1048576              1019.63
2097152              2026.29
4194304              3574.44
# OSU MPI_Get Bandwidth Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      31.58
2                      61.86
4                     119.31
8                     254.50
16                    523.52
32                    984.70
64                   1930.62
128                  3600.26
256                  6286.02
512                 10587.26
1024                18639.73
2048                21662.25
4096                16971.83
8192                14121.81
16384               13877.12
32768               13733.76
65536               12676.02
131072              11976.28
262144              10725.89
524288               8301.74
1048576              8428.13
2097152              8612.81
4194304              8615.79
# OSU MPI_Get latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.07
2                       0.07
4                       0.07
8                       0.06
16                      0.06
32                      0.07
64                      0.07
128                     0.07
256                     0.07
512                     0.08
1024                    0.09
2048                    0.09
4096                    0.11
8192                    0.16
16384                   0.29
32768                   0.73
65536                   1.42
131072                  4.29
262144                 13.04
524288                 39.20
1048576                75.22
2097152               153.79
4194304               305.93
# OSU MPI_Put Bi-directional Bandwidth Test v5.9
# Window creation: MPI_Win_allocate
