BARE METAL

hpc43203 r35c2t6n1 220$ for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.57              0.96              0.48              0.00
2                       1.58              0.97              0.48              0.00
4                       1.58              0.96              0.48              0.00
8                       1.57              0.96              0.47              0.00
16                      1.57              0.96              0.48              0.00
32                      1.61              0.97              0.48              0.00
64                      1.57              0.96              0.48              0.00
128                     1.66              0.96              0.55              0.00
256                     1.66              0.96              0.56              0.00
512                     1.68              0.96              0.57              0.00
1024                    1.71              0.96              0.61              0.00
2048                    1.90              0.96              0.81              0.00
4096                    3.06              1.89              1.07              0.00
8192                    3.66              1.90              1.69              0.00
16384                  10.83              5.59              5.23              0.00
32768                  14.25              7.42              6.92              1.27
65536                  22.93             12.00             10.91              0.00
131072                 37.19             19.37             18.22              2.18
262144                 76.83             38.67             37.01              0.00
524288                163.38             77.19             73.50              0.00
1048576               308.37            142.90            136.91              0.00

# OSU MPI Non-blocking All-to-Allv Personalized Exchange Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.60              0.97              0.46              0.00
2                       1.59              0.97              0.49              0.00
4                       1.59              0.96              0.46              0.00
8                       1.60              0.97              0.46              0.00
16                      1.61              0.96              0.48              0.00
32                      1.60              0.96              0.50              0.00
64                      1.59              0.96              0.46              0.00
128                     1.67              0.96              0.56              0.00
256                     1.68              0.96              0.57              0.00
512                     1.74              0.97              0.58              0.00
1024                    1.77              0.97              0.62              0.00
2048                    1.94              0.97              0.82              0.00
4096                    3.11              1.89              1.10              0.00
8192                    4.14              2.38              1.80              1.86
16384                  11.70              6.28              5.34              0.00
32768                  14.47              7.44              7.02              0.00
65536                  22.80             11.98             10.75              0.00
131072                 37.77             19.35             17.97              0.00
262144                 78.02             39.57             37.27              0.00
524288                170.37             83.39             79.55              0.00
1048576               309.73            147.09            141.06              0.00

# OSU MPI Non-blocking All-to-Allw Personalized Exchange Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.59              0.96              0.50              0.00
2                       1.60              0.96              0.47              0.00
4                       1.59              0.96              0.48              0.00
8                       1.60              0.96              0.47              0.00
16                      1.58              0.96              0.47              0.00
32                      1.59              0.96              0.47              0.00
64                      1.58              0.96              0.47              0.00
128                     1.67              0.96              0.57              0.00
256                     1.66              0.96              0.58              0.00
512                     1.69              0.96              0.58              0.00
1024                    1.73              0.96              0.61              0.00
2048                    1.90              0.96              0.83              0.00
4096                    3.07              1.89              1.08              0.00
8192                    3.69              1.89              1.71              0.00
16384                  11.01              5.57              5.22              0.00
32768                  14.34              7.42              6.85              0.00
65536                  23.16             12.01             10.93              0.00
131072                 39.00             20.27             18.91              0.96
262144                 77.00             38.74             36.78              0.00
524288                163.52             77.28             73.96              0.00
1048576               306.53            141.99            135.97              0.00

# OSU MPI Non-blocking Barrier Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

       Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
              1.54              0.95              0.50              0.00

# OSU MPI Non-Blocking Broadcast Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.45              0.96              0.36              0.00
2                       1.47              0.97              0.38              0.00
4                       1.46              0.96              0.37              0.00
8                       1.45              0.95              0.39              0.00
16                      1.48              0.97              0.36              0.00
32                      1.45              0.96              0.38              0.00
64                      1.48              0.97              0.40              0.00
128                     1.51              0.97              0.44              0.00
256                     1.48              0.95              0.44              0.00
512                     1.52              0.96              0.47              0.00
1024                    1.53              0.96              0.47              0.00
2048                    1.60              0.96              0.63              0.00
4096                    2.16              1.42              0.83             10.24
8192                    2.84              1.85              1.14             12.98
16384                   8.61              4.64              4.03              1.51
32768                  10.10              5.58              4.61              1.90
65536                  12.25              6.48              5.95              3.10
131072                 17.72              9.29              8.61              2.12
262144                 30.37             15.66             14.77              0.44
524288                 55.17             28.47             26.72              0.04
1048576               103.60             53.21             50.44              0.10

# OSU MPI Non-blocking Gather Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.48              0.95              0.37              0.00
2                       1.49              0.96              0.38              0.00
4                       1.49              0.96              0.38              0.00
8                       1.48              0.95              0.38              0.00
16                      1.49              0.96              0.42              0.00
32                      1.50              0.97              0.39              0.00
64                      1.47              0.95              0.38              0.00
128                     1.56              0.98              0.45              0.00
256                     1.60              1.00              0.44              0.00
512                     1.56              0.96              0.45              0.00
1024                    1.56              0.96              0.48              0.00
2048                    1.66              0.96              0.62              0.00
4096                    2.04              1.22              0.76              0.00
8192                    2.97              1.89              1.10              1.64
